fecha,nombre_producto,precio
2022-05-17,Pure De Tomate ALCO   Tetrabrik 520 Gr ,87.9
2022-05-17,Bizcochos Dulces Gallo Snack Bsa 50 Grm ,88.99
2022-05-17,Galletitas . Criollitas Paq 300 Grm ,127.99
2022-05-17,Galletitas Dulces Anillos Vainilla 9 De Oro Paq 380 Grm ,160.0
2022-05-17,Galletitas Maná Livianas Dulces Vainilla X3 Uni Paq 393 Grm ,160.49
2022-05-17,Pepas DON SATUR Bsa 300 Grm ,149.99
2022-05-17,Gall.Dulces Anillos Terrabusi Paq 300 Grm ,190.99
2022-05-17,Variedad Surtidas Terrabusi Paq 390 Grm ,258.99
2022-05-17,Gall.Rellena . OPERA Paq 92 Grm ,61.74
2022-05-17,Gall.Rellena . Rumba Paq 336 Grm ,231.99
2022-05-17,Gall.Rellena Chocolat MELBA Paq 360 Grm ,262.99
2022-05-17,Galletitas PEPITOS 357g ,352.99
2022-05-17,Gall.Avena Chip De Chocol Cachafaz Paq 225 Grm ,228.99
2022-05-17,Arveja Seca/Rem INCA Lat 350 Gr ,64.29
2022-05-17,Poroto  CIUDAD DEL LAGO De Soja Lata 350 Gr ,66.99
2022-05-17,Lentejas LA CAMPAGNOLA 300 Gr ,95.06
2022-05-17,Garbanzos LA CAMPAGNOLA 300 Gr ,114.93
2022-05-17,Jardinera INCA 350 Gr ,119.7
2022-05-17,Sal Gruesa . Celusal Est 1 Kgm ,85.8
2022-05-17,Vinagre Alcohol MENOYO Pet 1 Ltr ,118.23
2022-05-17,Vinagre Vino COTO Pet 1 Ltr ,146.07
2022-05-17,Sal Entrefina Para Parrilla CELUSAL Paq 500 Grm ,74.96
2022-05-17,Aceite Soja  SOJOLA   Botella 900 Ml ,147.03
2022-05-17,Aceite Girasol  COCINERO   Botella 900 Ml ,167.66
2022-05-17,Aderezo Ligth Cocinero Clasico Bajo En Sodio Bot 500 Ml ,154.3
2022-05-17,Aderezo Light Cocinero Aceto Y Oliva Pet 500 Ml ,175.39
2022-05-17,Aceto Balsamico Reducción Enrico Baronese Bot 375 Cmq ,169.0
2022-05-17,Aceto Balsamico Don Marcell Bot 500 Cmq ,299.0
2022-05-17,Aceite Oliva Extra Virgen NATURA Intenso Lata 500 Ml ,729.6
2022-05-17,Aceite Oliva Extra Virgen S Cocinero Bot 500 Ml ,773.76
2022-05-17,Aceite Rocío Vegetal  Cañuelas Girasol Aerosol 187 Ml ,274.52
2022-05-17,Avena Instantanea Quaker Cja 660 Grm ,504.99
2022-05-17,Cer.Skarchit . Granix Bsa 240 Grm ,166.99
2022-05-17,Avena Tradicional Quaker Cja 760 Grm ,486.99
2022-05-17,Avena Tradicional Morixe Paq 300 Grm ,153.67
2022-05-17,Avena Tradicio Coto Paq 400 Grm ,179.99
2022-05-17,Cereal Almohaditas Rellenas Sabor Limón Snuks Cja 240 Grm ,304.99
2022-05-17,Musli Cereales Mzana Kellogg-S Cja 270 Grm ,388.99
2022-05-17,Granola Berries Go Natural Paq 250 Grm ,399.99
2022-05-17,Cacao En Polvo Nesquik X 150gr ,105.28
2022-05-17,Cacao Granulado Chocolino Paq 800 Grm ,562.8
2022-05-17,Pure De Fruta Manzana Zummy Pou 90 Grm ,91.5
2022-05-17,Leche En Polvo Nutrifuerza La Lechera Paq 400 Grm ,458.15
2022-05-17,Leche En Polvo NIDO Paq 400 Grm ,526.29
2022-05-17,Edulcorante Con Stevia CHUKER Bot 200 Ml ,302.23
2022-05-17,Azucar Rubio Mascabo Ledesma Paq 800 Grm ,209.0
2022-05-17,Azúcar HILERET Light Paquete 250 Gr ,141.26
2022-05-17,Edulcorante SUCARYL      Botella 360 Cc ,228.17
2022-05-17,Endulzante Clásico Forte Hileret Bot 500 Ml ,388.73
2022-05-17,Edulcorante Clásico Chuker Bot 400 Ml ,335.51
2022-05-17,Endulzante Sweet Forte Hileret Bot 400 Ml ,438.0
2022-05-17,Premezcla Para Tapas De Alfajores Maizena Paq 400 Grm ,364.31
2022-05-17,Premezcla Hummus Instantáneo NATURAL POP Paq 100 Grm ,172.0
2022-05-17,Premezcla Para Chipá Maizena Paq 250 Grm ,315.2
2022-05-17,Arroz Largo Fino CIUDAD DEL LAGO Paquete 1 Kg ,109.0
2022-05-17,Arroz Largo Fino LUCCHETTI Estuche X1 Kg ,173.02
2022-05-17,Garbanzos Morixe Paq 400 Grm ,158.0
2022-05-17,Sémola COTO Bolsa 400 Gr ,147.0
2022-05-17,Arroz Koshihikari Dos Hermanos Sushi Rice Paquete 500 Gr ,182.0
2022-05-17,Maiz Pisingallo LA EGIPCIANA Bol 400 Gr ,134.68
2022-05-17,Lentejas LONQUIMAY Bolsa 400 Gr ,213.75
2022-05-17,Porotos Manteca COTO Bolsa 500 Gr ,291.99
2022-05-17,Lentejón LA EGIPCIANA Selección Superior Bol 400 Grm ,239.23
2022-05-17,Poroto Negro Terrasana Bsa 500 Grm ,499.0
2022-05-17,Garbanzo . Terrasana Bsa 500 Grm ,499.0
2022-05-17,Arroz Carnaroli  GALLO   Risotto A La Española Caja 240 Gr ,286.15
2022-05-17,Mayonesa NATURA Pouch 950 Gr ,273.08
2022-05-17,Mostaza NATURA Pouch 500 Gr ,140.86
2022-05-17,Mayonesa Danica Pou 500 Ml ,161.37
2022-05-17,Condimento P/Tucos Y Guisos Alicante Sob 25 Grm ,82.65
2022-05-17,Condimento Para Pizza Alicante Sob 25 Grm ,83.9
2022-05-17,Mayonesa Danica Pou 250 Ml ,86.04
2022-05-17,Mostaza NATURA Pouch 250 Gr ,99.0
2022-05-17,Salsa Chimichurri VANOLI Picante Pet 350 Gr ,144.56
2022-05-17,Salsa Barbacoa LA PARMESANA Pet 300 Gr ,124.3
2022-05-17,Salsa De Ají Picante DOS ANCLAS Pet 375 Gr ,364.59
2022-05-17,Salsa Ranch DOS ANCLAS Pet 420 Gr ,404.4
2022-05-17,Salsa De Soja DOS ANCLAS   Botella 500 Ml ,504.95
2022-05-17,Mermelada Durazno Arcor Fra 454 Grm ,139.35
2022-05-17,Mermelada Durazno Emeth Pote 420 Gr ,164.3
2022-05-17,Mermelada Ciruela Arcor Fra 454 Grm ,136.74
2022-05-17,Mermelada Durazno ESNAOLA Fra 454 Grm ,225.4
2022-05-17,Mermelada Ciruela Emeth Frasco 454 Gr ,268.9
2022-05-17,Mermelada Light Frutilla ESNAOLA Fra 390 Grm ,286.75
2022-05-17,Mermelada Emeth Maracuya Fra 454 Grm ,330.7
2022-05-17,Mermelada Dietética Arandano Con Stevia Cuartocreciente Fra 300 Grm ,482.9
2022-05-17,Miel De Abejas Nectar De Dioses Fra 250 Grm ,412.5
2022-05-17,Mermelada Arandanos EL BROCAL    Frasco 420 Gr ,701.3
2022-05-17,Miel Orgánica Premi Yunga Andin Fra 470 Grm ,799.0
2022-05-17,Bicarbonato De Sodio Alicante Sob 50 Grm ,58.6
2022-05-17,Provenzal LA PARMESANA Paquete 25 Gr ,54.87
2022-05-17,Aji Triturado Alicante Sob 25 Grm ,64.75
2022-05-17,Oregano LA PARMESANA   Sobre 50 Gr ,114.5
2022-05-17,Oregano . Valle De Uc Sob 25 Grm ,79.9
2022-05-17,Condimento P/Chimichurri LA CAMPAGNOLA Doy 25 Grm ,79.95
2022-05-17,Anis En Granos Alicante Sob 25 Grm ,77.55
2022-05-17,Comino Molido Alicante Sob 25 Grm ,89.7
2022-05-17,Salsa 4 Quesos Alicante Sob 37 Grm ,152.45
2022-05-17,Albahaca La Parmesana Sob 20 Grm ,87.23
2022-05-17,Agua De Mesa Nestle Bidón 6.3 L ,302.3
2022-05-17,Agua Con Gas . Benedictino Bot 1.5 Ltr ,75.1
2022-05-17,Agua Mineral Natural De Manantial ALVURA 2.25 L ,100.0
2022-05-17,Agua Sin Gas . Ser Bot 2.25 Ltr ,89.51
2022-05-17,Agua Saborizada Cellier Naranja Botella 1.5 L ,78.0
2022-05-17,"Gaseosa Mirinda Naranja Bot 1,5 Ltr ",81.2
2022-05-17,Gaseosa CUNNINGTON    Botella 2.25 L  ,127.36
2022-05-17,Gaseosa Coca-Cola Sin Azúcares 2 Lt ,134.55
2022-05-17,Gaseosa Coca-Cola Light 2 Lt ,134.55
2022-05-17,"Gaseosa Coca-Cola Sabor Original 2,5 Lt ",173.79
2022-05-17,Gaseosa PEPSI Light Black Botella 1.5 L  ,140.16
2022-05-17,Gaseosa Coca-Cola Sabor Original  3 Lt ,279.97
2022-05-17,"Gaseosa Schweppes Sin Azúcares Pomelo 2,25 Lt ",213.91
2022-05-17,"Gaseosa SPRITE Lima-Limón 1,5 Lt ",146.1
2022-05-17,"Gaseosa Coca-Cola Light 1,5 Lt ",146.1
2022-05-17,"Agua Saborizada AQUARIUS Pera 1,5 Lt ",163.62
2022-05-17,Cerveza  SANTA FE   Botella 1 L ,181.0
2022-05-17,Vino Tinto . RESERO Ttb 1 Ltr ,203.54
2022-05-17,Anana Fizz Sin Alcohol Fiesta De Niños Bot 1 Ltr ,219.0
2022-05-17,Vino Blanco . Toro Ttb 1 Ltr ,240.0
2022-05-17,Cerveza Cautiva Rubia Salta Ret Bot 1 L ,300.0
2022-05-17,Cerveza Red Schneider  Lata 473 CC ,134.9
2022-05-17,Cerveza Bot Dorada Origina Brahma Bot 710 Cmq ,298.0
2022-05-17,Leche Entera Larga Vida Alimenta Ttb 1 Ltr ,87.73
2022-05-17,Leche Larga Vida Descremada CIUDAD DEL LAGO Ttb 1 L ,115.0
2022-05-17,Leche Clasica Mas Liviana LA SERENISIMA Botella Larga Vida 1l ,130.57
2022-05-17,Leche Multidefensas 0% LA SERENISIMA Sachet 1l ,147.75
2022-05-17,Leche Parcialmente Descremada Liviana  LA SERENISIMA Larga Vida 1l ,167.0
2022-05-17,Leche Con Hierro La Serenisina Botella Larga Vida 1l ,186.45
2022-05-17,Leche Protein La Serenisina Botella Larga Vida 1l ,186.45
2022-05-17,Silk Almendra Con Chocolate 946 Ml ,299.2
2022-05-17,Bebida Vegetal Granola La Serenisima Ttb 1 Ltr ,400.1
2022-05-17,LA SERENISIMA 100% Vegetal Almendra 1l ,400.1
2022-05-17,Tap.Empanada Criolla X20 Mendia Bsa 520 Grm ,176.0
2022-05-17,Tap.Empanada Hojaldre Mendia Fwp 520 Grm ,166.0
2022-05-17,Tapa P/Pascualina . COTO Bol 400 Grm ,149.0
2022-05-17,Tap.Empanada Horno Ciudad Del Lago Bsa 300 Grm ,112.0
2022-05-17,Ravioles Ricota Mendia Bsa 1 Kgm ,386.5
2022-05-17,Lomo De Cerdo Cocido PALADINI Bli 120 Grm ,260.0
2022-05-17,Dce. Batata Con Chocolate . 1 Kgm ,349.0
2022-05-17,Dulce De Batata Esnaola Cja 500 Grm ,249.0
2022-05-17,Dulce De Batata Arcor Cja 500 Grm ,259.0
2022-05-17,Queso Crema Light La Serenisima Pot 290 Grm ,180.0
2022-05-17,Queso Crema LA PAULINA Tradicional 290 Gr ,192.44
2022-05-17,Queso Untable LA PAULINA Clásico 190 Gr ,140.01
2022-05-17,Queso Blanco Clásico Tregar Pot 290 Grm ,246.4
2022-05-17,Queso Blanco Light Tregar Pot 290 Grm ,246.4
2022-05-17,Queso Untable Tentaciones 4  Tholem Pot 190 Grm ,175.8
2022-05-17,Queso Casancrem Entero 200 Gr ,192.26
2022-05-17,Zapallo Japones   Xkg ,69.9
2022-05-17,Naranja Comercial   Xkg ,69.0
2022-05-17,Zapallo Anco X Kg ,54.9
2022-05-17,Papa Negra Selec   Xkg ,49.0
2022-05-17,Batata Americana   Xkg 1 Kgm ,79.9
2022-05-17,Papa Blanca .   Xkg ,79.9
2022-05-17,Choclo Amarillo   Xkg ,119.0
2022-05-17,Limon Comercia   Xkg ,99.0
2022-05-17,Choclo Especial X Kg   Xkg ,139.0
2022-05-17,Cebolla A Granel X Kg ,159.0
2022-05-17,Ciruela X Kg ,299.0
2022-05-17,Brocoli X Kg ,299.0
2022-05-17,Manzana Red .   Xkg ,329.0
2022-05-17,Manzana.G.Smith .   Xkg ,339.0
2022-05-17,Manzana Red Elegida X Kg ,349.0
2022-05-17,Aji Picante -   Xkg ,449.0
2022-05-17,Kiwi Selección   X Kg ,499.0
2022-05-17,Roast Beef Estancias Coto X KG ,849.9
2022-05-17,Chorizo Fco Bombon Fridevi . 1 Kgm ,789.9
2022-05-17,Bondiola De Cerdo Finas Hierbas X KG ,939.9
2022-05-17,Bife Angosto Estancias Coto X KG ,859.9
2022-05-17,Bife Con Lomo Estancias Coto X KG ,929.9
2022-05-17,Filete De Merluza Despinado Fresco X Kg ,799.0
2022-05-17,Pata Con Piel X Uni (450 Gr) Refrigerados ,175.46
2022-05-17,Alitas X Uni (455 Gr) ,77.37
2022-05-17,Pollo Congelado X Kg ,269.9
2022-05-17,Pata Muslo Con Piel X Uni (1.4 Kg) Refrigerados ,523.61
2022-05-17,Supremas Sin Piel X Uni (960 Gr) Refrigerados ,797.63
2022-05-17,Huevo Blanco . El Ombu Map 30 Uni ,605.0
2022-05-17,Huevo Blanco Grand Maple X 30 Uni 30 Uni ,584.0
2022-05-17,Huevo Color Grande El Ombu Map 30 Uni ,648.0
2022-05-17,Huevo Color Maple X 30 Uni 30 Uni ,732.0
2022-05-17,Huevo Color Grande El Ombu Cja 12 Uni ,369.0
2022-05-17,Huevo Color . Cja 12 Uni ,318.0
2022-05-17,Medallones BURGER SWIFT   4 Uni X 69 Gr   ,185.0
2022-05-17,Hamburguesa Carne Vacuna X Swift Cja 276 Grm ,276.0
2022-05-17,Hamburguesas SWIFT  12 Uni X 80 Gr Clásicas ,997.0
2022-05-17,Milanesa Soja T.Casero Granja Del Paq 330 Grm ,224.09
2022-05-17,Milanesas Soja Lucchetti X 290 Grm ,178.68
2022-05-17,Milanesas Soja X4 Lucchetti Paq 560 Grm ,482.0
2022-05-17,Milanesa Soja Tipo Casero X Granja Del Paq 660 Grm ,584.0
2022-05-17,Desod. Ambiente Espiritu Play POETT Aer 360 Ml ,216.99
2022-05-17,Desod. Ambiente Flores De Prim POETT Aer 360 Ml ,216.99
2022-05-17,Desodorante De Ambiente Harmony Glade Aer 360 Cmq ,232.99
2022-05-17,Desinfectante Amanecer De Mo Odex Aer 360 Ml ,232.99
2022-05-17,Sopapa De Goma X-LIMP Negra Con Cabo 1 Uni ,235.99
2022-05-17,Limpiador ECOVITA Baño Doy 500 Ml ,124.99
2022-05-17,Limpiador En Crema Cif Limón Multiuso 250 Ml ,107.99
2022-05-17,Limpiador De Baño LYSOFORM Líquido Repuesto 450ml ,139.99
2022-05-17,Limpiador Líquido CIF Baño Biodegradable 500 Ml Gatillo ,246.99
2022-05-17,Limpiador Baño Bio Active Cif Gat 500 Ml ,249.99
2022-05-17,Limpiador De Baño LYSOFORM Líquido Gatillo 500ml ,280.99
2022-05-17,Limpiador Liquido Desinf.Baño Lysoform Gat 500 Cmq ,356.99
2022-05-17,Limpia Inodoros Desinfectante LYSOFORM Gel Active Power Lavanda 500ml ,332.99
2022-05-17,Canasta Líquida Para Inodoro GLADE I Love You Aparato + Repuesto 50ml ,363.99
2022-05-17,Lavavajillas Bio Act.Lima Cif Bot 500 Ml ,288.99
2022-05-17,Limpiador Antigrasa Extra Power Cocina Mr.Musculo Gat 500 Cmq ,287.99
2022-05-17,Sal Regeneradora Glow Bot 1 Kgm ,597.99
2022-05-17,Lavavajillas Multiuso Naran Magistral Bot 750 Ml ,454.99
2022-05-17,Limp.Pisos Lavanda Ecovita Bot 900 Cmq ,80.99
2022-05-17,Limpiador Líquido Multisuperficies GLADE Campos De Lavanda Botella 1.8l ,236.99
2022-05-17,Limpiador PROCENEX Marina Bid 5 Lts ,721.99
2022-05-17,Limpiador PINOLUZ Pino Larga Duracion Bot 1800 CC ,260.1
2022-05-17,"Limpiador Desinfectante Ayudín Marina Botella 1,8 L ",351.99
2022-05-17,Limp.Liquido Vidrios Secado PROCENEX Doy 420 Ml ,89.79
2022-05-17,Bolsas De Residuos TASK 45 X 60 Cm 20 U. Pequeña Multiuso ,269.99
2022-05-17,Bolsas De Polietileno TRASH 45 X 60 Cm 30 U. Multiuso ,375.99
2022-05-17,Bolsa Resid. 45 X 60 TASK Paq 20 Uni ,311.99
2022-05-17,Bolsas De Residuos TASK 50 X 70 Cm 20 U. Multiuso ,392.99
2022-05-17,Cepillo Dental Adulto Sustent 2life Paq 1 Uni ,64.72
2022-05-17,Cepillo Dental Infantil Suste 2life Paq 1 Uni ,65.95
2022-05-17,Cepillo Dental COLGATE Triple Acción Medio 2unid ,181.19
2022-05-17,Cepillo Dental Colgate Extra Clean Medio 1unid ,110.1
2022-05-17,Crema Dental COLGATE Sensitive Pro-Alivio 50g ,237.99
2022-05-17,Crema Dental SENSODYNE Blanqueador Extra Fresh Pomo 50 Gr ,350.99
2022-05-17,Enjuague Bucal LISTERINE Cool 24hs X250ml ,403.99
2022-05-17,Enjuague Bucal COLGATE Plax Fresh Mint 250ml ,376.99
2022-05-17,Pasta Dental Anti-Caries Oral B Cja 150 Uni ,226.99
2022-05-17,Pasta Dental COLGATE Herbal 140g ,231.99
2022-05-17,Toallitas Húmedas Para Bebé Johnsons Hora Del Sueño X 96 Un. ,574.99
2022-05-17,Toallitas Húmedas Baby Dove Humectación Enriquecida 50 Unidades ,498.99
2022-05-17,Acondicionador Para Niños SUAVE Frutilla Glamorosa 350 Ml ,280.31
2022-05-17,Sh. P/Bebe Extra Suave Algabo Bot 444 Ml ,169.0
2022-05-17,Acondicionador Para Niños Suave Manzanilla Talentosa 350 Ml ,334.99
2022-05-17,Crema De Calendula Bushi Bushi Cja 50 Grm ,670.99
2022-05-17,Jabón En Barra Baby Dove Humectación Enriquecida 75 G ,131.99
2022-05-17,Shampoo Para Niños Johnsons Hidratación Intensa X 200 Ml. ,368.99
2022-05-17,Jabon Suavidad Natur Estrella Ba Paq 75 Grm ,141.99
2022-05-17,Crema Hidratante Para Bebé Johnson'S® Recién Nacido X 200 Ml. ,554.27
2022-05-17,Acondicionador Largo Saludabl Plusbelle Bot 970 Ml ,391.99
2022-05-17,Acondicionador Hidratación Aguacate Y Argán Algabo Doy 300 Ml ,129.99
2022-05-17,Acondicionador Bomba De Nutrición Sedal Bot 650 Ml ,435.62
2022-05-17,Acondicionador Dove Ritual De Reparación Coco Y Cúrcuma 750 Ml ,820.99
2022-05-17,Acondicionador Oil Repair 3 Recarga Nutritiva Garnier Fructis Bot 650 Ml ,727.99
2022-05-17,Crema Corporal Hiratación Profunda Villeneuve Bot 400 Ml ,385.99
2022-05-17,Crema Corporal St. Ives Avena Y Karité 350 Ml ,365.99
2022-05-17,"Crema HINDS Cuerpo Hidratante Piel Normal Vit, Alo Bot 350m ",396.09
2022-05-17,Crema Corporal Más Hidratación Villeneuve Bot 250 Ml ,292.99
2022-05-17,Crema Corporal St. Ives Humectación Diaria 350 Ml ,409.99
2022-05-17,Crema HINDS Hidratacion Esencial Piel Normal Bot 250ml ,296.09
2022-05-17,Crema Corporal Dove Nutrición Esencial 200 Ml ,293.99
2022-05-17,Colonia Para Niños MUJERCITAS Cja 80ml ,759.99
2022-05-17,Maquina De Afeitar GILLETTE Prestobarba3   Blister 2 Unidades ,357.99
2022-05-17,Maquina Afeitar Prestobarba 2 Untragrip Plus Gillette Paq 5 Uni ,676.99
2022-05-17,Banda Depilat. Axilas/Area Bi Veet Cja 16 Uni ,832.99
2022-05-17,Pinza Para Depilar TAO Decorada Paq 1 Uni ,156.99
2022-05-17,Cera Depilatoria Perlas Vegetal MILLEFIORI Fwp 100 Grm ,242.99
2022-05-17,Cera Depilatoria Vegetal MILLEFIORI Lat 200 Grm ,566.99
2022-05-17,Crema Depil. Piel Sensible VEET Est 100 Ml ,814.99
2022-05-18,Bife Con Lomo Estancias Coto X KG ,929.9
2022-05-18,Leche Descremada Menos Calorias LA SERENISIMA Botella Larga Vida 1l ,172.5
2022-05-18,Arroz Largo Fino GALLO Versátil Paquete 1 Kg ,113.0
2022-05-18,Banana Cavendish   Xkg ,139.0
2022-05-18,Yogur Bebible Parcialmente Descremado Frutilla Tregar Sch 1 Kgm ,183.8
2022-05-18,Penne Rigate MATARAZZO     Paquete 500 Gr ,129.48
2022-05-18,Atun Al Natural GOMES DA COSTA Lomo Lata 170 Gr ,239.0
2022-05-18,Lomo De Cerdo X KG ,899.9
2022-05-18,Lomo De Cerdo Cocido PALADINI Bli 120 Grm ,260.0
2022-05-18,Servilletas SUSSEX Ultramax 30x30 Paquete 150 Unidades ,138.99
2022-05-18,Servilletas CAMPANITA Soft 33x33 Paq 70 Uni ,77.99
2022-05-18,Servilletas Familiares X 1 Sussex Paq 140 Uni ,283.99
2022-05-18,Toallitas Desinfectantes Ayudín Fresco Flowpack 24 Un ,233.99
2022-05-18,Toallitas Desinfectantes AYUDÍN Limón Flowpack 24 Un ,232.99
2022-05-18,Toallitas Desinfectantes Ayudín Fresco Flowpack 36 Un ,332.99
2022-05-18,Toallitas Desinfectantes Ayudín Limón Doypack 35 Un ,320.99
2022-05-18,P.Higienico X4 Rollo 100 C Higienol Paq 40 M2 ,429.99
2022-05-18,Papel Higiénico CAMPANITA Soft Plus Xl Simple Hoja Paquete 4 Unidades ,423.99
2022-05-18,Bolsas De Residuos TASK 45 X 60 Cm 20 U. Pequeña Multiuso ,269.99
2022-05-18,Papel Higiénico HIGIENOL Max Hoja Simple Panal Paq 4 Unid X 80 Mts C/U ,453.99
2022-05-18,P.Higienico Hoja Simple X6 Elite Paq 18 M2 ,292.99
2022-05-18,Lavandina AYUDÍN Clásica 2 L ,228.99
2022-05-18,Lavandina Ayudín Clásica Botella 4 Lts ,433.99
2022-05-18,Lavandina Triple Poder L Ayudin Bot 2 Ltr ,253.99
2022-05-18,Fid.Semolin C/Hvo Nido Nº3 308 Paq 500 Grm ,198.9
2022-05-18,Ketchup Hellmann'S Regular 250 G Doypack ,146.42
2022-05-18,Tirabuzon LUCCHETTI       Paquete 500 Gr ,127.08
2022-05-18,Fideos Rigatti Al Huevo Don Vicente Paq 500 Grm ,208.81
2022-05-18,Mostachol LUCCHETTI     Paquete 500 Gr ,104.97
2022-05-18,Fid.Semolin C/Hvo Nido N°2 308 Paq 500 Grm ,195.01
2022-05-18,Lasagna Matarazzo Paq 400 Grm ,285.78
2022-05-18,Harina De Trigo BLANCAFLOR  0000 Paquete 1 Kg ,121.39
2022-05-18,Harina De Trigo CHACABUCO Leudante Paquete 1 Kg ,119.84
2022-05-18,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm ,129.75
2022-05-18,Harina Leudante Cañuelas Paq 1 Kgm ,119.2
2022-05-18,Harina Trigo 000 BLANCAFLOR 1 Kg ,83.31
2022-05-18,Harina Trigo 000 Morixe Paq 1 Kgm ,76.07
2022-05-18,WOOLITE Jabón Líquido Para Ropa Todos Los Días En Máquina  Repuesto 1.5l ,706.99
2022-05-18,Suavizante Concentrado Vivere Intense Abrazo Apretado 1 L ,577.99
2022-05-18,Jabón Líquido Ropa Fina ALA Camellito Lavado A Mano 450 Ml ,205.99
2022-05-18,Jabón Líquido Skip Regular Ph Balanceado 800 Ml Doypack ,305.99
2022-05-18,Shampoo PLUSBELLE Hidratación Botella 1000 Ml ,148.08
2022-05-18,Shampoo Suave Manzanilla Rubios 930 Ml ,251.99
2022-05-18,Shampoo Suave Lacio Antifrizz 930 Ml ,251.99
2022-05-18,Shampoo Detox C/Bio Pr Plusbelle Bot 1000 Ml ,326.99
2022-05-18,Shampoo Sedal Liso Perfecto 340 Ml ,240.5
2022-05-18,Shampo Niños Ph Balanceado Plusbelle Bot 700 Ml ,531.99
2022-05-18,Shampo Niños Sensación Natu Plusbelle Bot 700 Ml ,531.99
2022-05-18,Gomitas Tiburoncitos Frutti Gelatin Bol 30 Grm ,50.49
2022-05-18,Gomitas Frut/Gel Frutigelati Bsa 30 Grm ,50.49
2022-05-18,Gomitas Ositos Mogul Paq 30 Grm ,50.49
2022-05-18,Alfajor Terrabusi Chocolate 50 Gr X 1 Uni ,91.99
2022-05-18,Alfajor Bon O Bon  40 Gr X 1 Uni ,85.99
2022-05-18,Chocolate Con Leche C/Ma Georgalos Fwp 35 Grm ,98.99
2022-05-18,Chocolate Arcor Chocolate Cja 25 Grm ,66.99
2022-05-18,Chocolate Shot Con Mani Paq 35 Grm ,106.99
2022-05-18,Filtros Papel Nº4 MELITTA Caja 30 Unidades ,379.05
2022-05-18,Te . Rosamonte Cja 50 Uni ,165.0
2022-05-18,Te Negro Clásico X25 So Green Hills Cja 50 Grm ,124.59
2022-05-18,Te Chai La Virginia Cja 40 Grm ,130.65
2022-05-18,Te Frutilla La Virginia Est .04 Kgm ,120.4
2022-05-18,Yerba Mate AMANDA Paquete 500 Gr ,198.19
2022-05-18,Yerba Mate Hierbas Serran CHAMIGO Paq 500 Grm ,222.9
2022-05-18,Té Hierbas Digestivas CACHAMAI Caja 20 Saquitos ,134.65
2022-05-18,Yerba Mate Manzanilla Cruz De Mal Paq 500 Grm ,240.9
2022-05-18,Café Instantaneo Torrado Selección Arlistan Fra 50 Grm ,245.99
2022-05-18,Yerba Mate 4 Flex Taragui 1 Kg ,550.0
2022-05-18,Cappuccino Espuma De Vainilla La Virginia Pou 155 Grm ,310.9
2022-05-18,Cappuccino Dulce De Leche La Virginia Pou 155 Grm ,310.9
2022-05-18,Coffee-Mate Liviano X 170gr ,381.85
2022-05-18,Café Instantáneo ARLISTAN Frasco 170 Gr ,416.09
2022-05-18,Café Instantáneo Tradición NESCAFE Pou 150 Grm ,407.37
2022-05-18,Cafe Instantaneo Suave La Virginia Fra 170 Grm ,556.75
2022-05-18,Cafe Instantaneo Suave Y Espumoso Arlistan Fra 170 Grm ,690.15
2022-05-18,Pure De Tomate LA CAMPAGNOLA Tetrabrik 520 Gr ,77.24
2022-05-18,Pure De Tomate SALSATI Tetrabrik 520 Gr ,77.54
2022-05-18,Pure De Tomate COTO Con Orégano Tetrabrik 520 Gr ,79.0
2022-05-18,Pure De Tomate ALCO   Tetrabrik 520 Gr ,87.9
2022-05-18,Bizcochos Dulces Gallo Snack Bsa 50 Grm ,88.99
2022-05-18,Galletitas . Criollitas Paq 300 Grm ,127.99
2022-05-18,Galletitas Dulces Anillos Vainilla 9 De Oro Paq 380 Grm ,160.0
2022-05-18,Galletitas Maná Livianas Dulces Vainilla X3 Uni Paq 393 Grm ,160.49
2022-05-18,Pepas DON SATUR Bsa 300 Grm ,149.99
2022-05-18,Gall.Dulces Anillos Terrabusi Paq 300 Grm ,190.99
2022-05-18,Variedad Surtidas Terrabusi Paq 390 Grm ,258.99
2022-05-18,Gall.Rellena . OPERA Paq 92 Grm ,61.74
2022-05-18,Gall.Rellena . Rumba Paq 336 Grm ,231.99
2022-05-18,Gall.Rellena Chocolat MELBA Paq 360 Grm ,262.99
2022-05-18,Galletitas PEPITOS 357g ,352.99
2022-05-18,Gall.Avena Chip De Chocol Cachafaz Paq 225 Grm ,228.99
2022-05-18,Arveja Seca/Rem INCA Lat 350 Gr ,64.29
2022-05-18,Poroto  CIUDAD DEL LAGO De Soja Lata 350 Gr ,66.99
2022-05-18,Lentejas LA CAMPAGNOLA 300 Gr ,95.06
2022-05-18,Garbanzos LA CAMPAGNOLA 300 Gr ,114.93
2022-05-18,Jardinera INCA 350 Gr ,119.7
2022-05-18,Sal Gruesa . Celusal Est 1 Kgm ,85.8
2022-05-18,Vinagre Alcohol MENOYO Pet 1 Ltr ,118.23
2022-05-18,Vinagre Vino COTO Pet 1 Ltr ,146.07
2022-05-18,Sal Entrefina Para Parrilla CELUSAL Paq 500 Grm ,74.96
2022-05-18,Aceite Soja  SOJOLA   Botella 900 Ml ,147.03
2022-05-18,Aceite Girasol  COCINERO   Botella 900 Ml ,167.66
2022-05-18,Aderezo Ligth Cocinero Clasico Bajo En Sodio Bot 500 Ml ,154.3
